glp1hxfer6mUP	glp1hxfer6mDOWN	glp1hxWTmUP	glp1hxWTmDOWN
		F13A7.11	C25E10.12
		C42D8.5	D1086.7
		W03F8.9	Y49E10.16
		R13H9.4	F15D3.7
		F23D12.7	F25C8.4
		F55H12.2	F01G10.1
		Y37H2A.12	C01B9.1
		ZK813.3	F15A2.2
		C16D9.5	K02F6.1
		F59B1.8	F18E3.7
		C35B1.5	ZK593.8
		F14D7.5	ZK697.13
		C17H12.14	F12E12.2
		C56C10.3	C27D8.1
		F21F3.6	F16F9.4
		C08A9.10	K06B4.12
		F35D11.1	R12E2.3
		Y82E9BR.19	T20B3.13
		Y48G9A.10	C23H5.8
		K07F5.3	C28H8.3
		F59F5.2	C18D11.2
		F19C7.3	Y11D7A.10
		C50B8.4	F35E12.6
		B0205.13	F27C1.11
		C06B3.13	D1086.19
		C06E1.5	C33D3.3
		C08B11.4	T20B3.1
		ZK682.2	Y110A7A.2
		ZC334.9	C33E10.8
		C48E7.10	Y65B4BR.5
		T10D4.3	ZK550.3
		Y46E12BL.1	T09F5.9
		ZC373.4	F35C5.9
		R09B5.11	Y87G2A.9
		F22E5.6	C26B2.6
		F37H8.5	R13F6.5
		F42G2.8	
		B0336.2	
		F33E2.5	
		Y39D8C.1	
		F26F4.3	
		VC5.4	
		Y75B8A.10	
		F57C2.4	
		D1086.11	
